epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.06632,1.85398,2.03189,3.00456,1.74357,0,0.01223,0.98148,0.6407,0.44387,0.01084,0.87037,0.59487,0.20299,0.96345,0.98025,2.25349,0.96115,0,0.000651163,0.000651163,0.000651163
2,14.0363,1.41035,0.92786,1.97075,1.31277,0,0.20869,0.12963,0.12046,0.03265,0.44344,0.33333,0.38871,0.11727,2.10311,0.96111,2.70634,2.22002,0,0.00131751,0.00131751,0.00131751
3,20.8828,1.45483,0.89751,1.7628,1.31777,0,0.47225,0.64815,0.55333,0.25615,0.49468,0.68519,0.54986,0.21213,1.50432,0.8107,1.75986,1.39918,0,0.00198256,0.00198256,0.00198256
4,27.1954,1.39489,0.8846,1.51217,1.29085,0,0.76049,0.70564,0.77817,0.3526,0.70395,0.52851,0.55597,0.22023,1.69422,1.27856,1.37584,1.43777,0,0.00199561,0.00199561,0.00199561
5,33.811,1.32835,0.80983,1.30297,1.2609,0,0.51308,0.48792,0.46208,0.14869,0.74427,0.48514,0.64012,0.23481,1.90931,1.08595,1.73208,2.03838,0,0.00199219,0.00199219,0.00199219
6,40.4141,1.27909,0.75497,1.20689,1.22973,0,0.56724,0.53704,0.5156,0.24658,0.65419,0.64815,0.59467,0.2191,1.7098,0.59869,1.94206,1.67656,0,0.00198781,0.00198781,0.00198781
7,46.7562,1.24282,0.76442,1.10713,1.22306,0,0.81904,0.83821,0.85413,0.43712,0.74903,0.77383,0.75555,0.27467,1.78397,0.78035,1.69789,1.59622,0,0.00198246,0.00198246,0.00198246
8,52.6124,1.20415,0.74334,1.02411,1.19414,0,0.69568,0.75926,0.68007,0.45663,0.6867,0.74074,0.62628,0.35214,1.08918,0.61831,1.30895,1.03712,0,0.00197616,0.00197616,0.00197616
9,58.5881,1.15594,0.70005,0.95422,1.17635,0,0.88812,0.88889,0.95429,0.52989,0.81419,0.90741,0.922,0.38005,1.47886,0.60686,1.21336,1.32363,0,0.0019689,0.0019689,0.0019689
10,64.774,1.10307,0.70176,0.92454,1.15765,0,0.99787,0.88889,0.91746,0.51037,0.99787,0.88889,0.90756,0.33272,1.28977,0.77818,0.9762,1.26423,0,0.00196069,0.00196069,0.00196069
11,70.7478,1.10168,0.73,0.9358,1.15765,0,0.89466,0.90741,0.96556,0.50474,0.89466,0.90741,0.96607,0.4574,1.35585,0.5321,0.88051,1.48341,0,0.00195155,0.00195155,0.00195155
12,76.9835,1.04314,0.72235,0.87997,1.12701,0,0.82139,0.83333,0.87723,0.58468,0.95629,0.92593,0.96138,0.5226,1.26204,0.49981,0.98146,1.16018,0,0.00194147,0.00194147,0.00194147
13,83.1778,1.02835,0.68961,0.85788,1.10165,0,0.86552,0.7963,0.84351,0.43739,0.82165,0.75926,0.77146,0.35894,1.35146,0.62314,0.98876,1.25275,0,0.00193048,0.00193048,0.00193048
14,89.0862,0.98975,0.68029,0.80636,1.11115,0,0.92569,0.92277,0.96519,0.72177,0.91482,0.90741,0.95693,0.54067,0.93178,0.47869,0.87803,0.92814,0,0.00191858,0.00191858,0.00191858
