epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33223,1.92453,2.04077,2.91037,1.75332,0,0.73732,0.25455,0.41668,0.1759,0.73732,0.25455,0.50376,0.24066,1.72382,0.93212,2.48649,1.61858,0,0.000651163,0.000651163,0.000651163
2,15.267,1.41735,0.91553,1.91933,1.29679,0,0.55341,0.4,0.41787,0.10983,0.27438,0.21818,0.09669,0.02385,2.01324,1.37411,2.12843,1.88464,0,0.00131751,0.00131751,0.00131751
3,21.3251,1.41386,0.87585,1.64872,1.28483,0,0.4842,0.58182,0.53004,0.15946,0.6602,0.60055,0.62271,0.27572,1.7429,0.95352,2.73353,1.6714,0,0.00198256,0.00198256,0.00198256
4,27.4922,1.45561,0.86556,1.51267,1.314,0,0.50265,0.65455,0.56282,0.24626,0.57126,0.6541,0.57862,0.18269,1.66298,0.94377,1.71125,1.51882,0,0.00199561,0.00199561,0.00199561
5,33.4868,1.38191,0.78243,1.33315,1.27013,0,0.74652,0.6962,0.76231,0.3681,0.72385,0.58182,0.68651,0.35634,1.58576,0.64665,1.71464,1.4047,0,0.00199219,0.00199219,0.00199219
6,39.5638,1.31018,0.80008,1.17634,1.21901,0,0.69398,0.69091,0.73605,0.38612,0.76356,0.70468,0.77446,0.35845,1.46675,0.54352,1.40405,1.32406,0,0.00198781,0.00198781,0.00198781
7,45.7588,1.23857,0.75912,1.07716,1.1954,0,0.52064,0.75045,0.58206,0.2203,0.62457,0.83636,0.72598,0.22869,1.79929,0.58327,1.66554,1.57972,0,0.00198246,0.00198246,0.00198246
8,51.9014,1.16262,0.73341,0.99577,1.17445,0,0.57153,0.56364,0.56535,0.26804,0.56158,0.67273,0.62598,0.2012,1.57645,0.66666,2.17716,1.38864,0,0.00197616,0.00197616,0.00197616
9,57.7991,1.12671,0.76192,0.91213,1.14753,0,0.92817,0.81818,0.94093,0.56126,0.9784,0.82361,0.92942,0.52123,1.21438,0.52699,1.20494,1.18666,0,0.0019689,0.0019689,0.0019689
10,63.7923,1.08506,0.69343,0.91385,1.13214,0,0.67499,0.76364,0.70181,0.40419,0.74992,0.8,0.82016,0.39767,1.31679,0.52868,1.39853,1.17861,0,0.00196069,0.00196069,0.00196069
11,69.7641,1.05047,0.73494,0.85669,1.12608,0,0.94489,0.85455,0.91569,0.5022,0.94489,0.85455,0.91327,0.50507,1.2656,0.46563,0.97249,1.15237,0,0.00195155,0.00195155,0.00195155
12,75.7653,1.00567,0.69542,0.81033,1.10052,0,0.94296,0.90179,0.94786,0.47395,0.93465,0.89091,0.89884,0.38718,1.35192,0.58958,1.02,1.26393,0,0.00194147,0.00194147,0.00194147
13,81.6564,1.02394,0.70745,0.80645,1.10639,0,0.79854,0.79282,0.85135,0.50034,0.88336,0.89091,0.90599,0.4406,1.26498,0.55174,1.22777,1.22859,0,0.00193048,0.00193048,0.00193048
14,87.4958,0.96927,0.72928,0.7856,1.09642,0,0.82337,0.84763,0.89508,0.41898,0.91866,0.82146,0.88341,0.42545,1.47955,0.5157,0.96115,1.37503,0,0.00191858,0.00191858,0.00191858
15,93.2208,0.97288,0.6837,0.76492,1.11144,0,0.94983,0.69091,0.81638,0.41094,0.85131,0.72727,0.83978,0.42077,1.46249,0.53614,1.15225,1.4087,0,0.00190578,0.00190578,0.00190578
16,99.0819,0.92392,0.68669,0.74489,1.08482,0,0.93728,0.87273,0.90832,0.55336,0.93728,0.87273,0.90779,0.49769,1.32714,0.52998,1.08687,1.22309,0,0.0018921,0.0018921,0.0018921
17,104.951,0.90072,0.65147,0.74112,1.06164,0,0.77062,0.73306,0.74857,0.34335,0.80824,0.8,0.79129,0.3858,1.83152,0.55692,1.4362,1.47277,0,0.00187754,0.00187754,0.00187754
18,110.988,0.90376,0.67103,0.72366,1.06979,0,0.92329,0.87536,0.92196,0.49088,0.92329,0.87536,0.91096,0.46425,1.3943,0.47575,0.94727,1.29196,0,0.00186213,0.00186213,0.00186213
19,116.987,0.93657,0.67656,0.71918,1.07993,0,0.88076,0.85455,0.87752,0.55827,0.88076,0.85455,0.87811,0.50627,1.03526,0.44358,0.91409,1.0167,0,0.00184588,0.00184588,0.00184588
20,123.725,0.90182,0.69066,0.70564,1.06976,0,0.87918,0.90909,0.96213,0.71315,0.87918,0.90909,0.96213,0.56721,0.87808,0.50826,0.79071,0.89984,0,0.00182881,0.00182881,0.00182881
21,129.981,0.86986,0.65515,0.68601,1.05644,0,0.97309,0.87273,0.92425,0.49044,0.97309,0.87273,0.91636,0.53626,1.2603,0.46459,0.75745,1.11725,0,0.00181093,0.00181093,0.00181093
22,136.166,0.84886,0.63828,0.67391,1.04303,0,0.86946,0.76364,0.89373,0.44557,0.91738,0.81818,0.90265,0.55049,1.62391,0.46016,1.02671,1.4811,0,0.00179225,0.00179225,0.00179225
23,142.789,0.8319,0.64072,0.66079,1.06023,0,0.94897,0.90909,0.95385,0.52629,0.94897,0.90909,0.92285,0.50981,1.2224,0.45355,0.83752,1.19679,0,0.00177281,0.00177281,0.00177281
24,148.958,0.86097,0.62717,0.67477,1.05458,0,0.96153,0.90896,0.95444,0.57373,0.96153,0.90896,0.93065,0.53233,1.1984,0.47134,0.7745,1.17704,0,0.00175261,0.00175261,0.00175261
25,155.015,0.83433,0.66491,0.64272,1.04814,0,0.87892,0.52795,0.65314,0.45185,0.83253,0.72317,0.80131,0.45809,1.54906,0.40087,1.3653,1.46328,0,0.00173168,0.00173168,0.00173168
26,161.254,0.78305,0.63477,0.63074,1.04293,0,0.79298,0.54545,0.66229,0.37736,0.89984,0.6534,0.80823,0.4287,1.66443,0.47194,1.27,1.44776,0,0.00171004,0.00171004,0.00171004
27,167.271,0.79432,0.64794,0.61036,1.03563,0,0.92903,0.8,0.89204,0.45743,0.92903,0.8,0.88931,0.49561,1.37311,0.43411,0.98937,1.25015,0,0.0016877,0.0016877,0.0016877
28,173.358,0.81346,0.61874,0.61745,1.04736,0,0.88641,0.8,0.87557,0.51526,0.93552,0.89091,0.92733,0.45265,1.23325,0.54388,1.07203,1.11105,0,0.0016647,0.0016647,0.0016647
29,179.343,0.80166,0.63992,0.6328,1.0324,0,0.87059,0.87273,0.93713,0.47123,0.88872,0.89091,0.94306,0.58195,1.48525,0.43844,0.92668,1.27779,0,0.00164105,0.00164105,0.00164105
30,185.177,0.79894,0.60182,0.62432,1.03336,0,0.96154,0.72727,0.86202,0.52263,0.87964,0.83636,0.89358,0.50886,1.2436,0.44869,0.98309,1.11958,0,0.00161678,0.00161678,0.00161678
31,190.934,0.75167,0.63922,0.59932,1.02176,0,0.83939,0.61818,0.79517,0.61679,0.83939,0.61818,0.79555,0.51799,0.82352,0.52386,0.89173,0.89911,0,0.00159191,0.00159191,0.00159191
32,196.811,0.7432,0.63024,0.5898,1.01974,0,0.84039,0.83636,0.84522,0.5171,0.91331,0.89091,0.91358,0.50331,1.07156,0.48403,1.08509,1.04827,0,0.00156646,0.00156646,0.00156646
33,202.725,0.72777,0.59791,0.58247,1.01511,0,0.68692,0.83776,0.75006,0.48378,0.68678,0.89091,0.77794,0.43494,1.13038,0.40833,1.08481,1.0703,0,0.00154047,0.00154047,0.00154047
34,209.534,0.7368,0.62071,0.5739,1.01276,0,0.8372,0.69091,0.87247,0.37233,0.83776,0.8,0.88037,0.43982,1.74612,0.52071,1.28726,1.48995,0,0.00151395,0.00151395,0.00151395
35,215.34,0.74254,0.63408,0.5817,1.01513,0,0.69611,0.74972,0.78733,0.45475,0.78449,0.86045,0.86313,0.47212,1.46524,0.48784,1.14919,1.37327,0,0.00148694,0.00148694,0.00148694
36,222.893,0.71253,0.62729,0.55469,1.00561,0,1,0.84664,0.91467,0.49971,1,0.84664,0.90554,0.50751,1.17719,0.52277,0.78775,1.12221,0,0.00145945,0.00145945,0.00145945
37,228.883,0.73201,0.59118,0.57844,1.00727,0,0.92458,0.6,0.77698,0.40004,0.81215,0.7075,0.80166,0.45163,1.43547,0.56106,1.24965,1.23172,0,0.00143152,0.00143152,0.00143152
38,235.193,0.68714,0.62243,0.55501,0.99839,0,0.78345,0.83636,0.84007,0.54305,0.81892,0.87273,0.90067,0.51143,1.36904,0.45987,0.93554,1.18581,0,0.00140318,0.00140318,0.00140318
39,241.246,0.70299,0.61874,0.55675,1.00172,0,0.96214,0.92421,0.92638,0.72044,0.94322,0.90616,0.92485,0.59471,0.69516,0.46003,0.58339,0.82511,0,0.00137444,0.00137444,0.00137444
40,247.696,0.71024,0.5831,0.56113,0.99614,0,0.94221,0.96364,0.96829,0.64134,0.94733,0.98101,0.97497,0.59446,1.12552,0.44422,0.70929,1.08772,0,0.00134535,0.00134535,0.00134535
41,254.108,0.69497,0.57387,0.54595,1.0078,0,0.88827,0.87273,0.90827,0.59021,0.90678,0.89091,0.94102,0.57574,1.10085,0.45725,0.77307,1.1561,0,0.00131593,0.00131593,0.00131593
42,260.252,0.6984,0.60018,0.54283,0.99237,0,0.88364,0.8,0.89327,0.56974,0.87775,0.83636,0.90228,0.51821,0.93561,0.46822,0.90264,0.99444,0,0.0012862,0.0012862,0.0012862
43,266.643,0.66013,0.5798,0.52737,0.984,0,0.85908,0.70909,0.7984,0.39603,0.90449,0.74545,0.8398,0.44763,1.5817,0.44948,1.10853,1.55829,0,0.0012562,0.0012562,0.0012562
44,272.716,0.65184,0.56318,0.52396,0.98636,0,0.97204,0.6322,0.80036,0.38999,0.84011,0.74545,0.83536,0.43574,1.8072,0.45985,1.49027,1.63864,0,0.00122596,0.00122596,0.00122596
45,278.666,0.65734,0.58541,0.5168,0.98571,0,0.97329,0.89091,0.91594,0.49041,0.99315,0.90909,0.92804,0.46365,1.23733,0.48806,0.84647,1.10218,0,0.00119551,0.00119551,0.00119551
46,284.729,0.65885,0.56548,0.50928,0.99018,0,0.9373,0.83636,0.89902,0.63155,0.92394,0.89091,0.91757,0.58318,1.12524,0.45333,0.7435,1.07144,0,0.00116487,0.00116487,0.00116487
47,290.762,0.67302,0.59727,0.50561,0.99404,0,0.93686,0.90909,0.93785,0.63162,0.93686,0.90909,0.92322,0.59037,1.06507,0.41458,0.67387,1.12113,0,0.00113408,0.00113408,0.00113408
48,296.688,0.6752,0.59472,0.52491,0.99822,0,0.9174,0.85455,0.92249,0.58315,0.9174,0.85455,0.92022,0.53513,1.27228,0.42278,0.84157,1.23071,0,0.00110317,0.00110317,0.00110317
49,302.619,0.61552,0.59235,0.4864,0.97798,0,0.99136,0.90909,0.915,0.61849,0.99136,0.90909,0.9077,0.5758,1.0031,0.4951,0.69924,1.00534,0,0.00107216,0.00107216,0.00107216
50,308.579,0.63166,0.55582,0.49256,0.98875,0,0.71761,0.64693,0.6949,0.42621,0.81721,0.73163,0.83552,0.46895,1.39871,0.41986,1.07345,1.33646,0,0.0010411,0.0010411,0.0010411
51,314.556,0.64026,0.55723,0.50047,0.98598,0,0.85991,0.55812,0.64461,0.38478,0.86664,0.6,0.7205,0.38644,1.36815,0.48661,1.36404,1.36701,0,0.00101,0.00101,0.00101
52,320.687,0.60972,0.56946,0.48929,0.97371,0,0.85844,0.81818,0.86238,0.58762,0.85844,0.81818,0.85411,0.55372,0.96653,0.45524,0.87826,0.98075,0,0.000978903,0.000978903,0.000978903
53,326.732,0.64246,0.55019,0.497,0.99161,0,0.79076,0.92727,0.86771,0.53424,0.79076,0.92727,0.86789,0.49113,1.23623,0.45961,0.84216,1.18254,0,0.000947837,0.000947837,0.000947837
54,332.803,0.6149,0.54172,0.48595,0.98359,0,0.6469,0.56364,0.54093,0.31795,0.77741,0.67273,0.68068,0.38171,1.70649,0.46815,1.53676,1.59828,0,0.000916833,0.000916833,0.000916833
55,338.895,0.62186,0.58279,0.48111,0.98166,0,0.89111,0.74397,0.82133,0.47208,0.89111,0.74397,0.82657,0.48365,1.34595,0.42176,1.0368,1.31102,0,0.00088592,0.00088592,0.00088592
56,344.945,0.61172,0.56433,0.47593,0.96582,0,0.78466,0.8,0.86554,0.50441,0.82032,0.83636,0.92372,0.48948,1.35325,0.41382,0.99298,1.28871,0,0.00085513,0.00085513,0.00085513
57,350.946,0.63194,0.54097,0.48936,0.98016,0,0.88676,0.72727,0.86371,0.47818,0.88676,0.72727,0.88813,0.5402,1.35217,0.4575,1.01978,1.274,0,0.000824492,0.000824492,0.000824492
58,356.835,0.57022,0.5326,0.46308,0.96303,0,0.89223,0.78182,0.89427,0.44635,0.89223,0.78182,0.89304,0.49666,1.67787,0.40011,0.99429,1.39848,0,0.000794038,0.000794038,0.000794038
59,362.595,0.58766,0.54516,0.46408,0.96652,0,0.9062,0.81818,0.90802,0.52926,0.93788,0.83636,0.92948,0.51117,1.41871,0.43952,0.84774,1.25048,0,0.000763797,0.000763797,0.000763797
