epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.156,1.7498,6.44635,0.90733,0.00463,0.75281,0.00444,0.00259,1.37852,3.5587,0.81663,0.000544553,0.000544553,0.000544553
2,279.855,1.28461,3.86806,0.82161,0.00725,1,0.99177,0.58784,1.44028,2.38333,0.83385,0.00109995,0.00109995,0.00109995
3,289.134,1.24073,2.88693,0.8225,0.9872,0.96629,0.9815,0.63567,1.20646,1.07266,0.80944,0.00165427,0.00165427,0.00165427
4,294.101,1.19942,2.10293,0.81965,0.98173,0.96629,0.96454,0.65206,1.19074,0.81849,0.80008,0.00166334,0.00166334,0.00166334
5,298.999,1.09559,1.51235,0.80678,1,0.99574,0.995,0.67078,1.12061,0.63522,0.79384,0.00166049,0.00166049,0.00166049
6,304.113,1.08485,1.15105,0.8008,0.99794,0.97753,0.98489,0.61074,1.36668,0.74402,0.8212,0.00165684,0.00165684,0.00165684
7,308.919,1.07235,0.96684,0.808,0.99774,1,0.995,0.69772,1.07469,0.56216,0.78822,0.00165238,0.00165238,0.00165238
8,313.798,1.04498,0.84509,0.79993,1,0.9993,0.995,0.69676,1.05884,0.53371,0.79319,0.00164713,0.00164713,0.00164713
9,318.744,1.00724,0.74722,0.79398,1,0.98619,0.9934,0.67583,1.10937,0.59697,0.79654,0.00164108,0.00164108,0.00164108
10,323.747,1.01476,0.65123,0.80834,0.99859,1,0.995,0.69605,1.05485,0.52629,0.79291,0.00163424,0.00163424,0.00163424
11,328.624,1.0019,0.63788,0.79932,0.99792,1,0.995,0.65637,1.21057,0.54259,0.80211,0.00162661,0.00162661,0.00162661
12,333.672,0.95627,0.59079,0.78228,1,0.99897,0.995,0.6795,1.11297,0.53148,0.79483,0.00161822,0.00161822,0.00161822
13,338.426,0.97389,0.57412,0.80014,0.99731,1,0.995,0.70542,1.11504,0.6188,0.79099,0.00160905,0.00160905,0.00160905
14,344.004,0.95853,0.56781,0.78266,0.99893,1,0.995,0.68828,1.04687,0.54612,0.79059,0.00159913,0.00159913,0.00159913
15,348.766,0.94679,0.53966,0.79492,0.99909,1,0.995,0.69654,1.01621,0.56682,0.78505,0.00158847,0.00158847,0.00158847
16,353.505,0.95631,0.51634,0.79214,0.98875,0.98776,0.99445,0.7476,0.89401,0.44326,0.78293,0.00157706,0.00157706,0.00157706
17,358.3,0.91588,0.54982,0.79502,1,0.99951,0.995,0.67605,1.07796,0.55176,0.7932,0.00156493,0.00156493,0.00156493
18,363.115,0.90916,0.53166,0.78903,0.98875,0.98789,0.98478,0.70957,1.0507,0.56515,0.79169,0.00155209,0.00155209,0.00155209
19,367.952,0.91314,0.51778,0.78762,0.99709,0.98876,0.985,0.71063,1.04573,0.6029,0.7889,0.00153854,0.00153854,0.00153854
20,372.694,0.89608,0.49387,0.77764,0.99675,0.98876,0.985,0.67853,1.11021,0.67782,0.79073,0.00152431,0.00152431,0.00152431
21,377.697,0.92765,0.50549,0.78873,0.98767,1,0.99489,0.66427,1.12315,0.62481,0.79125,0.00150941,0.00150941,0.00150941
22,382.578,0.87813,0.48552,0.78714,0.99898,1,0.995,0.70631,1.05459,0.52634,0.79211,0.00149384,0.00149384,0.00149384
23,387.357,0.93713,0.50667,0.7973,0.99938,1,0.995,0.70493,1.05326,0.53537,0.78914,0.00147764,0.00147764,0.00147764
24,392.115,0.86838,0.4654,0.78338,0.99894,1,0.995,0.71334,0.96225,0.4665,0.7824,0.0014608,0.0014608,0.0014608
25,396.906,0.90701,0.46606,0.7878,0.99868,1,0.995,0.74649,0.92335,0.47364,0.78227,0.00144335,0.00144335,0.00144335
26,403.374,0.89684,0.47048,0.79113,0.99903,1,0.995,0.66651,1.12624,0.63184,0.79979,0.00142531,0.00142531,0.00142531
27,408.16,0.91338,0.4631,0.78964,0.99706,1,0.995,0.7242,0.9418,0.49269,0.78366,0.0014067,0.0014067,0.0014067
28,414.165,0.87502,0.46903,0.7821,0.99902,1,0.995,0.70258,1.01045,0.52803,0.78632,0.00138753,0.00138753,0.00138753
29,418.897,0.85947,0.48222,0.78558,0.99879,1,0.995,0.70558,1.04403,0.53409,0.78805,0.00136781,0.00136781,0.00136781
30,423.722,0.85261,0.46627,0.78873,0.99896,1,0.995,0.69586,1.06725,0.54469,0.79239,0.00134758,0.00134758,0.00134758
31,428.455,0.8757,0.46929,0.78699,1,0.99593,0.995,0.73387,0.99761,0.53032,0.78504,0.00132685,0.00132685,0.00132685
32,433.296,0.84991,0.45359,0.7935,0.99765,1,0.995,0.71821,0.99179,0.47681,0.78642,0.00130565,0.00130565,0.00130565
33,438.063,0.85471,0.45474,0.78894,0.99968,1,0.995,0.7588,0.91415,0.53937,0.77909,0.00128398,0.00128398,0.00128398
34,442.87,0.87894,0.45926,0.79572,0.98747,1,0.99489,0.74951,0.9286,0.52696,0.77865,0.00126188,0.00126188,0.00126188
35,447.638,0.84213,0.43439,0.78265,0.99903,1,0.995,0.72971,0.97514,0.52518,0.78193,0.00123936,0.00123936,0.00123936
36,452.505,0.81332,0.44038,0.78168,0.98794,1,0.99489,0.72634,0.94625,0.50033,0.78007,0.00121645,0.00121645,0.00121645
37,457.294,0.85733,0.45092,0.78615,0.99931,1,0.995,0.76465,0.91199,0.48167,0.77973,0.00119317,0.00119317,0.00119317
38,462.164,0.82371,0.44488,0.78571,0.99686,1,0.995,0.76207,0.92731,0.52203,0.77782,0.00116955,0.00116955,0.00116955
39,466.961,0.81979,0.42983,0.78824,0.99916,1,0.995,0.76694,0.87333,0.47486,0.77294,0.0011456,0.0011456,0.0011456
